id,name
1,"A- Dedo SpA"
2,"Andes App S.A."
3,"ARCH-IT LIMITADA"
4,"Axiome Concept Chile SpA"
5,"Beekn Innovación y Tecnología SpA"
6,"Bicilab SpA"
7,"Capos SpA"
8,"City Sense SpA"
9,"Comunicaciones 4by4 SpA"
10,"Comunidad Feliz SpA"
11,"ControlSoft SpA"
12,"Cooperativa de Trabajo Hub Ispirare Ltda."
13,"Data Science SpA"
14,"Dismod Spa"
15,"Distrito SPA"
16,"DOEplug SPA"
17,"DreamLine S.A."
18,"EPANAL MOBILE COMMUNITY SpA"
19,"Erralab Ltda"
20,"Francisco José Rojas Servicios Integrales de Informatica E.I.R.L"
21,"GreenFilter"
22,"Ikawell Ltd"
23,"Imatec Computacion SpA"
24,"Ingeniería y Servicios CMM Telecom Ltda"
25,"Ingeniería, Consultoría y Servicios Industriales Limitada"
26,"Ki Teknology S.A"
27,"LEONARDO LUARTE GONZALEZ DESARROLLOS TECNOLOGICOS E.I.R.L."
28,"LOGISTICA INGENIERIA E INVERSIONES SAFESTORE SPA"
29,"Love2Light Spa"
30,"Mismatica Chile Ltda"
31,"MOZA &amp; ASOCIADOS SPA"
32,"NNS Servicios LTDA"
33,"Notifikame Spa"
34,"ORIGO LAB"
35,"Plantsss S.p.A."
36,"Pozo Ríos Rodríguez y Torres Ltda"
37,"Reciclapp SpA"
38,"Servicios de Consultoría en Tecnología de la Información SPA"
39,"Servicios SYG Spa"
40,"Simplit SpA"
41,"SOCIEDAD DE ASESORIAS E INVERSION INVERSUR SPA"
42,"Softlab Ltda"
43,"Solcom SPA"
44,"Techwave Ingeniería e Innovación Ltda"
45,"TINET SOLUCIONES INFORMÁTICAS LIMITADA"
46,"Urbanatika Spa"
47,"Vesat S.A"